,created_at,user_name,screen_name,description,user_location,text,language,hashtags,media_url,source,coordinates,place,time_zone
0,2022-03-07 20:02:03+00:00,TheEazyCadet,EazyCadet,'The Eazy Cadet' is an online resource centre for all Merchant Navy Deck Officers and Cadets looking to enhance their skills and knowledge. #LinkedIn,"England, United Kingdom",Incident Video: Dinghy Operator Nearly Run Over By Containership in Southampton https://t.co/6kROBPOD06 https://t.co/MZTDUNu50s,en,,['https://pbs.twimg.com/media/FNRbHhPVgAM0u_-.png'],dlvr.it,,,
1,2022-03-07 10:23:06+00:00,TheEazyCadet,EazyCadet,'The Eazy Cadet' is an online resource centre for all Merchant Navy Deck Officers and Cadets looking to enhance their skills and knowledge. #LinkedIn,"England, United Kingdom",LNG-fueled containership MSC Washington wraps up sea trials https://t.co/DpcOfHcIFW https://t.co/MscryUyjRn,en,,['https://pbs.twimg.com/media/FNPWmoyUYAElRjN.jpg'],dlvr.it,,,
2,2022-03-05 16:01:42+00:00,John Morgan,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA","The BREMEN, IMO:9450387 en route to New York, flying the flag of Liberia 🇱🇷. #Bremen #ContainerShip #ShipsInPics https://t.co/yQwMENAdSz",en,"['Bremen', 'ContainerShip', 'ShipsInPics']",['https://pbs.twimg.com/media/FNGQ69wX0AgbOvZ.jpg'],Twitter for iPad,,"Place(_api=<tweepy.api.API object at 0x000002C9D2743AC0>, id='84229b03659050aa', url='https://api.twitter.com/1.1/geo/id/84229b03659050aa.json', place_type='city', name='Virginia Beach', full_name='Virginia Beach, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002C9D2743AC0>, type='Polygon', coordinates=[[[-76.22808, 36.672684], [-75.9118121, 36.672684], [-75.9118121, 36.932399], [-76.22808, 36.932399]]]), attributes={})",
3,2022-03-03 07:18:29+00:00,Færder,faerder46,"Ships, ferries, life.... enjoy listening to the radio. Don’t understand the country I live in anymore. Wondering what’s happening in the world.....",UK ,The JSP Rover @DublinPortCo @BgFreightLine #containership #dublin #freight #supplychain #ireland https://t.co/sUtARKkGGf,en,"['containership', 'dublin', 'freight', 'supplychain', 'ireland']",['https://pbs.twimg.com/media/FM6F_OEWYAEXq5w.jpg'],Twitter for iPhone,,,
4,2022-03-02 08:40:07+00:00,Adis Ajdin,AdisAjdin,Chief Correspondent at Splash Maritime and Offshore News,,Containership orderbook closes in on all-time highs https://t.co/jJFuh2dWCt https://t.co/nfTzToZnnY,en,,['https://pbs.twimg.com/media/FM1PFgMVUAcACMz.jpg'],dlvr.it,,,
5,2022-03-02 06:33:04+00:00,Splash,Splash_247,"Splash is the site for incisive, exclusive maritime news and views 24/7. It is also the home of Maritime CEO.",Singapore,Containership orderbook closes in on all-time highs https://t.co/2RdRl9Ginh https://t.co/0dvEaJsH8E,en,,['https://pbs.twimg.com/media/FM0yAX_VQAEk8VL.jpg'],dlvr.it,,,
6,2022-03-02 02:58:39+00:00,Jason Mosley Photography,JasonMosleyPho1,"Maritime industry, landscapes, photography  Available Fine Art Prints and Product
 On the link below",Port Angeles WA.,Port of Seattle WA.    containership offloating at the dock. https://t.co/gzvQI6NSqh,en,,['https://pbs.twimg.com/media/FM0A7jbXoAgovbu.jpg'],Smart Post App,,,
7,2022-03-01 21:45:06+00:00,TheEazyCadet,EazyCadet,'The Eazy Cadet' is an online resource centre for all Merchant Navy Deck Officers and Cadets looking to enhance their skills and knowledge. #LinkedIn,"England, United Kingdom",Industry Leaders Get AiP from BV for Containership Retrofit Concept https://t.co/VGRR4dXIPU https://t.co/G3SME0Yobf,en,,['https://pbs.twimg.com/media/FMy5KW3UcAU9LyZ.jpg'],dlvr.it,,,
8,2022-02-28 17:05:08+00:00,John Morgan,johnmorgan726,"I enjoy HAM radio, fishing, and maritime traffic watching. johnmorgan726@instagram.com","Virginia Beach, VA","The MSC BILBAO, IMO:9301495 en route to New York, flying the flag of Madeira. #MSCBilbao #ContainerShip #ShipsInPics https://t.co/jn1lPjyTgY",en,"['MSCBilbao', 'ContainerShip', 'ShipsInPics']",['https://pbs.twimg.com/media/FMsvfYVXMAoIbNi.jpg'],Twitter for iPad,,"Place(_api=<tweepy.api.API object at 0x000002C9D2743AC0>, id='84229b03659050aa', url='https://api.twitter.com/1.1/geo/id/84229b03659050aa.json', place_type='city', name='Virginia Beach', full_name='Virginia Beach, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000002C9D2743AC0>, type='Polygon', coordinates=[[[-76.22808, 36.672684], [-75.9118121, 36.672684], [-75.9118121, 36.932399], [-76.22808, 36.932399]]]), attributes={})",
9,2022-02-28 13:09:05+00:00,Albert,albertpallares,"Professional especialitzat en el Transport Marítim. Gaudeixo amb el trekking, fent esport, relaxant-me, treballant, però sobretot... amb la família!!",Travelling a lot ,Zero-emission hydrofoil containership unveiled https://t.co/N6wsyIRxQ6 https://t.co/LBXcTmv3Uj,fr,,['https://pbs.twimg.com/media/FMr5dvNVgAAKjbT.jpg'],dlvr.it,,,
